EPCI 2017;libellé;année;patients ayant consommé au moins un remboursement de soins au régime agricole
200069623;CC Champagnole Nozeroy Jura;2017;2186
200069631;CC Terres de Chalosse;2017;3011
200069649;CC Chalosse Tursan;2017;4796
200069656;CC Coeur Haute Lande;2017;2774
200069664;CC Meuse Rognon;2017;1691
200069672;CC du Ternois;2017;4903
200069698;CC Mâconnais - Tournugeois;2017;1715
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;2017;2116
200069730;CC des Quatre Rivières;2017;3089
200069748;CC Val de Gâtine;2017;4226
200069755;CC du Cellois, Coeur du Poitou, Mellois et du Val de Boutonne;2017;7833
200069763;CC du Haut-Poitou;2017;3529
200069821;CA Fécamp Caux Littoral;2017;1652
200069839;CC Côte d'Albâtre;2017;2784
200069847;CC Plateau de Caux-Doudeville-Yerville;2017;1772
200069854;CA Grand-Poitiers;2017;7121
200069912;CC des Forêts du Perche;2017;713
200069953;CC des Portes Euréliennes d'Ile de France;2017;2359
200069961;CC du Grand Châteaudun;2017;3884
200069995;CC Médoc Coeur de Presqu'ile;2017;9570
200070035;CC du Civraisien en Poitou;2017;4220
200070043;CC Vienne et Gartempe;2017;6021
200070068;CC Communauté Bray-Eawy;2017;2788
200070092;CA du Libournais;2017;11065
200070100;CC du Val de Sully;2017;1825
200070118;CC Val de Saône Centre;2017;1138
200070126;CC Seine et Aube;2017;1087
200070142;CC Lyons Andelle;2017;1036
200070159;CC Coeur de Beauce;2017;3380
200070167;CC Terres de Perche;2017;1216
200070183;CC des Terres du Val de Loire;2017;2866
200070233;CC Terres de Montaigu, Cc Montaigu-Rocheservière;2017;3655
200070282;CC Lavalette Tude Dronne;2017;2946
200070290;CC Pays de l'Audunois et du Bassin de Landres;2017;514
200070308;CA Mâconnais Beaujolais;2017;5865
